"","App","Caso","Threads","Matriz","Media","SD","N"
"1","mm2","StarPUmm2",1,"a",7.24591093063354,1.08793384272106,5
"2","mm2","StarPUmm2",2,"a",38.1741022586823,18.6986795761461,5
"3","mm2","StarPUmm2",4,"a",44.3401436805725,30.041961303337,5
"4","mm2","StarPUmm2",8,"a",91.4322432041168,27.0920765828154,5
"5","mm2","StarPUmm2",16,"a",106.519028663635,25.0106653344497,5
"6","mm2","StarPUmm2",32,"a",207.679854631424,19.0400535051295,5
