"","App","Caso","Threads","Matriz","Media","SD","N"
"1","mm","OpenMPmm",1,"a",8.6846,0.0107842477716343,5
"2","mm","OpenMPmm",2,"a",4.3626,0.0729540951557897,5
"3","mm","OpenMPmm",4,"a",2.2322,0.0292095874671314,5
"4","mm","OpenMPmm",8,"a",1.1144,0.0336422353597379,5
"5","mm","OpenMPmm",16,"a",0.599,0.052739927948377,5
"6","mm","OpenMPmm",32,"a",0.5324,0.00482700735445887,5
