"","App","Caso","Threads","Matriz","Media","SD","N"
"1","merge","OpenMPmerge",1,"a",39.0991476,0.0894601317252564,5
"2","merge","OpenMPmerge",2,"a",21.4029102,0.0177205911921695,5
"3","merge","OpenMPmerge",4,"a",16.6252684,0.580229175338762,5
"4","merge","OpenMPmerge",8,"a",10.5678812,0.823753466520597,5
"5","merge","OpenMPmerge",16,"a",7.2668756,0.113541450262889,5
"6","merge","OpenMPmerge",32,"a",5.5404908,0.399262768560005,5
